[重量]
6205,4.0,構造用ハイベストウッド 大壁 認定仕様4.0倍
6206,2.5,構造用ハイベストウッド 真壁 認定仕様2.5倍
6207,2.5,構造用ハイベストウッド 真壁床勝 認定仕様2.5倍
6208,2.7,構造用ハイベストウッド（7㎜厚）大壁 認定仕様2.7倍
6209,2.5,構造用ハイベストウッド（7㎜厚）真壁床勝 認定仕様2.5倍
6210,2.9,ノボパン認定2.9倍（大壁FRM-0177)
6211,2.6,ノボパン認定2.6倍（真壁・真壁床勝ちFRM-0179)
6212,3.0,ノボパン認定3.0倍（大壁床勝ちFRM-0242）
6213,4.3,ノボパン告示4.3倍（大壁）
6214,4.0,ノボパン告示4.0倍（真壁）
6215,2.5,ノボパン告示2.5倍（大壁）
6216,2.5,ノボパン告示2.5倍（真壁）
[基準耐力]
501,2.40,土壁
502,2.20,モルタル
525,5.20,合板
500,10.40,合板W
601,2.40,筋かい30×90
602,3.20,筋かい45×90
503,1.10,せっこうボード
504,1.70,サイディング
505,1.00,ラスボード
5000,5.20,構造用合板(真壁-受材) 
5001,3.00,構造用合板(真壁-貫)
5002,5.00,構造用パネル(大壁)      
5003,5.00,構造用パネル(真壁-受材)     
5004,1.50,構造用パネル(真壁-貫) 
5005,5.00,ﾊﾟｰﾃｨｸﾙﾎﾞｰﾄﾞ(真壁-受材) 
5006,1.50,ﾊﾟｰﾃｨｸﾙﾎﾞｰﾄﾞ(真壁-貫)    
5012,4.10,硬質木片セメント板
5015,3.00,ｼｰｼﾞﾝｸﾞｲﾝｼｭﾚｰｼｮﾝﾎﾞｰﾄﾞ 
5017,0.80,木ずり  
5018,3.50,土塗壁(両面塗り厚70mm以上)
5019,1.60,筋かい鉄筋9Φ
603,1.60,筋かい15×90
604,4.80,筋かい90×90
522,4.30,2.2倍耐力壁
540,7.80,合板4倍
650,1.90,筋かい30×90端部釘打ち
651,2.60,筋かい45×90端部釘打ち
652,2.40,筋かい90×90金物なし
6200,4.90,構造用ハイベストウッド 大壁 告示仕様2.5倍
6201,4.90,構造用ハイベストウッド 真壁 告示仕様2.5倍
6202,8.43,構造用ハイベストウッド 大壁 告示仕様4.3倍
6203,7.84,構造用ハイベストウッド 真壁 告示仕様4.0倍
6204,4.90,構造用ハイベストウッド 大壁 認定仕様2.5倍
6205,7.84,構造用ハイベストウッド 大壁 認定仕様4.0倍
6206,4.90,構造用ハイベストウッド 真壁 認定仕様2.5倍
6207,4.90,構造用ハイベストウッド 真壁床勝 認定仕様2.5倍
6208,5.29,構造用ハイベストウッド（7㎜厚）大壁 認定仕様2.7倍
6209,4.90,構造用ハイベストウッド（7㎜厚）真壁床勝 認定仕様2.5倍
[許容耐力]
501,0.98,土壁
525,4.90,合板
500,9.80,合板W
601,2.94,筋かい30×90
602,3.92,筋かい45×90
5000,4.90,構造用合板(真壁-受材) 
5001,2.94,構造用合板(真壁-貫)
5002,4.90,構造用パネル(大壁)      
5003,4.90,構造用パネル(真壁-受材)     
5004,2.94,構造用パネル(真壁-貫) 
5005,4.90,ﾊﾟｰﾃｨｸﾙﾎﾞｰﾄﾞ(真壁-受材) 
5006,2.94,ﾊﾟｰﾃｨｸﾙﾎﾞｰﾄﾞ(真壁-貫)    
5017,0.98,木ずり  
5018,0.98,土塗壁(両面塗り厚70mm以上)
5019,1.96,筋かい鉄筋9Φ
603,1.96,筋かい15×90
604,5.88,筋かい90×90
522,4.31,2.2倍耐力壁
540,7.84,合板4倍
6200,4.90,構造用ハイベストウッド 大壁 告示仕様2.5倍
6201,4.90,構造用ハイベストウッド 真壁 告示仕様2.5倍
6202,8.43,構造用ハイベストウッド 大壁 告示仕様4.3倍
6203,7.84,構造用ハイベストウッド 真壁 告示仕様4.0倍
6204,4.90,構造用ハイベストウッド 大壁 認定仕様2.5倍
6205,7.84,構造用ハイベストウッド 大壁 認定仕様4.0倍
6206,4.90,構造用ハイベストウッド 真壁 認定仕様2.5倍
6207,4.90,構造用ハイベストウッド 真壁床勝 認定仕様2.5倍
6208,5.29,構造用ハイベストウッド（7㎜厚）大壁 認定仕様2.7倍
6209,4.90,構造用ハイベストウッド（7㎜厚）真壁床勝 認定仕様2.5倍
